,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000118495,-1.99516055545935,4.80485581449832,353.466391155163,9.4448264220902e-37,1.05337924208752e-34,-36.02480601917371
ENSG00000101115,2.75978048083481,0.402350676802606,353.078425311522,9.90438825428914e-37,1.09809776757761e-34,36.00417234354706
ENSG00000101003,2.41673547203133,3.59098192680206,353.017961583709,9.97803271644369e-37,1.09975528828239e-34,36.0009550764093
ENSG00000206053,1.3042638314369,7.50913134404591,352.746294860222,1.03158598593376e-36,1.13034073792052e-34,35.986494566372194
ENSG00000263400,-2.11910880052848,0.334102735575033,352.513518725447,1.06145738019676e-36,1.1563097053922499e-34,-35.97409743900807
ENSG00000143367,1.60144387790375,5.58559225592243,352.229893554199,1.0990467913955e-36,1.1903375566692199e-34,35.958983817301466
ENSG00000166924,-2.61562890371863,0.0867037544323485,351.885207976876,1.14655784647406e-36,1.23465829709107e-34,-35.94060402922822
ENSG00000160710,1.01025221469041,8.90712826717655,351.71028257597,1.1714635974373298e-36,1.2542693385818999e-34,35.93127120231049
ENSG00000059573,1.11216610049658,6.7579908134993,351.374367735613,1.22084573254278e-36,1.29971514151444e-34,35.91333921053355
ENSG00000137960,-2.83848096164606,2.69275392735668,350.98131971587,1.28132467786965e-36,1.34959690309692e-34,-35.892340809411614
ENSG00000198937,1.60642418844472,3.2419059726435,350.976364794379,1.28210625367589e-36,1.34959690309692e-34,35.89207598146858
ENSG00000198901,2.46277027459592,5.10835324490255,349.914836424839,1.4612529059265799e-36,1.52958076527075e-34,35.835274612167744
ENSG00000203711,2.48253979598761,-0.463339979674147,349.738987419448,1.49330145673871e-36,1.55444385527295e-34,35.82585251124176
ENSG00000145386,2.77677182400336,3.91872822235916,348.950780883504,1.64597859861312e-36,1.703906132719e-34,35.783575815882344
ENSG00000189134,-2.58007561999031,0.365363541224126,348.774887545865,1.6821640809293002e-36,1.7317971639764999e-34,-35.774131644705356
ENSG00000163378,-1.20427898420261,5.23271643955651,348.38843108882,1.7645373839413002e-36,1.80667415097859e-34,-35.75336913613233
ENSG00000248309,-2.60239080247499,-0.384065772935099,347.548617023135,1.9579890615482498e-36,1.9938500568603e-34,-35.70818973874458
ENSG00000105996,-2.77462191763932,0.600060754406135,347.460207423022,1.9795716328349002e-36,2.0049315505095897e-34,-35.703428778235065
ENSG00000122565,1.05906168101549,7.62831360971983,347.310975606368,2.0165528401790097e-36,2.02834451004886e-34,35.69539039359313
ENSG00000135451,3.34597022002458,2.86116390295831,347.279910285469,2.02433913315438e-36,2.02834451004886e-34,35.69371672932244
ENSG00000100034,-1.15307801606832,5.54741019125801,346.873144869254,2.1291608004021698e-36,2.1220258466561397e-34,-35.67179153814354
ENSG00000135046,-2.43606132994877,8.76749123349468,346.000810774582,2.3729793447805002e-36,2.35251396736255e-34,-35.62470604201312
ENSG00000165810,-4.16090213834964,5.87560944621499,345.787612211716,2.4367741719512297e-36,2.40304408736054e-34,-35.61318471719192
ENSG00000079462,2.37248171813837,5.02964857520538,345.731300012869,2.45391383183812e-36,2.4072766213168e-34,35.61014069141107
ENSG00000227467,-3.60570867118053,0.739485280280121,345.057307953239,2.66883576407496e-36,2.60447790163919e-34,-35.573678151184616
ENSG00000135119,1.87796392640737,2.14202704209619,344.950726444941,2.7045359497251496e-36,2.6256419735751397e-34,35.567907241375366
ENSG00000116128,1.30123112775712,5.66380855226275,344.334815802416,2.9205719709556898e-36,2.82076067112354e-34,35.5345320870775
ENSG00000051180,2.38153805314254,2.58295716329294,344.112794630173,3.0026858670108197e-36,2.8851961584708497e-34,35.52249010015527
ENSG00000226237,-2.31562627417993,1.27682145654156,342.874642786976,3.5056807571133795e-36,3.35132348704252e-34,-35.4552276352293
ENSG00000012822,-1.05343718522641,6.79496352540811,342.598209981427,3.6292302484138596e-36,3.4518216834787e-34,-35.44018547808119
ENSG00000155970,-2.12824162510106,2.38823205791858,342.044608726823,3.89015011051389e-36,3.6813001323585198e-34,-35.410033640085594
ENSG00000123473,2.09574876886223,3.60482168009464,341.918091255289,3.95241261901048e-36,3.72142488655273e-34,35.40313772278755
